step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
27,2023-07-03 08:01:10.150974638,1,194.18,166.0,-0.04190021820430158,0.025398218204301576,0.0,0.016502
28,2023-07-03 08:01:11.297964469,1,194.18,99.0,-0.05236150464463453,0.03591850464463453,0.0,0.016443
29,2023-07-03 08:01:11.609390022,1,194.18,56.0,-0.04192481820430158,0.025398218204301576,0.0,0.0165266
30,2023-07-03 08:01:12.249009974,1,194.18,98.0,-0.0787700749764057,0.062212674976405695,0.0,0.0165574
31,2023-07-03 08:01:12.249596259,1,194.2,53.0,-0.04183631820430157,0.025398218204301576,0.0,0.0164381
32,2023-07-03 08:01:12.250045693,1,194.26,99.0,-0.09270255461290472,0.07619465461290473,0.0,0.0165079
33,2023-07-03 08:01:12.250045693,1,194.26,92.0,-0.19610042322317262,0.17959252322317262,0.0,0.0165079
34,2023-07-03 08:01:12.377325167,1,194.28,230.0,-0.05190161820429248,0.025398218204301576,0.009999999999990905,0.0165034
35,2023-07-03 08:01:12.692506346,1,194.15,221.0,-0.40914958038171356,0.25270908038172724,0.13999999999998636,0.0164405
36,2023-07-03 08:01:13.529950930,1,194.22,215.0,-0.11187051820429475,0.025398218204301576,0.06999999999999318,0.0164723
37,2023-07-03 08:01:13.720703771,1,194.22,224.0,-0.15829490928926224,0.07183700928926906,0.06999999999999318,0.0164579
38,2023-07-03 08:01:14.185830444,1,194.25,130.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
39,2023-07-03 08:01:14.185830444,1,194.25,226.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
40,2023-07-03 08:01:14.185830444,1,194.26,107.0,-0.12703811803554585,0.08031621803554471,0.030000000000001137,0.0167219
41,2023-07-03 08:01:14.185830444,1,194.28,162.0,-0.10703811803553562,0.08031621803554471,0.009999999999990905,0.0167219
42,2023-07-03 08:01:14.185830444,1,194.28,152.0,-0.10803251803553562,0.08031621803554471,0.009999999999990905,0.0177163
43,2023-07-03 08:01:14.185830444,1,194.29,148.0,-0.21608272549875285,0.19836642549875286,0.0,0.0177163
44,2023-07-03 08:01:15.035597217,1,194.28,199.0,-0.07237580464464477,0.03591850464463453,0.020000000000010232,0.0164573
45,2023-07-03 08:01:26.152137977,1,194.26,208.0,-0.052386004644634526,0.03591850464463453,0.0,0.0164675
46,2023-07-03 08:01:28.208889457,1,194.18,209.0,-0.14047960435155518,0.04399100435157111,0.07999999999998408,0.0164886
47,2023-07-03 08:01:33.770919150,1,194.24,143.0,-0.08057850435155292,0.04399100435157111,0.01999999999998181,0.0165875
48,2023-07-03 08:01:33.770919150,1,194.2,106.0,-0.10198571820430385,0.025398218204301576,0.060000000000002274,0.0165875
49,2023-07-03 08:01:54.802043714,1,194.25,175.0,-0.14594781023422126,0.12950601023422126,0.0,0.0164418
50,2023-07-03 08:01:57.509373336,1,194.2,82.0,-0.9740636592036607,0.8976033592036584,0.060000000000002274,0.0164603
51,2023-07-03 08:02:21.218955018,1,194.2,74.0,-0.041872318204301574,0.025398218204301576,0.0,0.0164741
52,2023-07-03 08:02:23.951417907,1,194.2,110.0,-0.27045948204301573,0.25398218204301576,0.0,0.0164773
53,2023-07-03 08:02:26.744084969,1,194.19,106.0,-0.14866087497639888,0.062212674976405695,0.06999999999999318,0.0164482
54,2023-07-03 08:02:38.530006625,1,194.19,215.0,-0.18156143075501457,0.09503143075502138,0.06999999999999318,0.01653
55,2023-07-03 08:02:38.530006625,1,194.19,203.0,-0.2661225232231658,0.17959252322317262,0.06999999999999318,0.01653
56,2023-07-03 08:02:39.084188366,1,194.18,84.0,-0.14114793635880252,0.10471953635882071,0.01999999999998181,0.0164284
57,2023-07-03 08:02:43.952770224,1,194.19,109.0,-0.20618732322316352,0.17959252322317262,0.009999999999990905,0.0165948
58,2023-07-03 08:02:43.952770224,1,194.2,78.0,-0.19618732322317262,0.17959252322317262,0.0,0.0165948
59,2023-07-03 08:02:44.165621669,1,194.19,127.0,-0.06239950464462543,0.03591850464463453,0.009999999999990905,0.016481
60,2023-07-03 08:02:49.169113913,1,194.19,125.0,-0.10681661803553562,0.08031621803554471,0.009999999999990905,0.0165004
61,2023-07-03 08:02:51.226003391,1,194.19,79.0,-0.08323204241218188,0.056792142412190966,0.009999999999990905,0.0164399
62,2023-07-03 08:03:01.015438032,1,194.16,193.0,-0.09240660464462658,0.03591850464463453,0.03999999999999204,0.0164881
63,2023-07-03 08:03:01.173535444,1,194.2,144.0,-0.05235370464463453,0.03591850464463453,0.0,0.0164352
64,2023-07-03 08:03:10.228192897,1,194.2,74.0,-0.04183161820430158,0.025398218204301576,0.0,0.0164334
65,2023-07-03 08:03:14.348034555,1,194.2,156.0,-0.041859818204301576,0.025398218204301576,0.0,0.0164616
66,2023-07-03 08:03:20.664115447,1,194.19,184.0,-0.23893063916728288,0.21249673916729198,0.009999999999990905,0.0164339
67,2023-07-03 08:03:21.113724707,1,194.2,54.0,-0.04184901820430158,0.025398218204301576,0.0,0.0164508
68,2023-07-03 08:03:21.985283743,1,194.2,69.0,-0.21961894563441262,0.2031857456344126,0.0,0.0164332
69,2023-07-03 08:03:24.714056048,1,194.2,201.0,-0.041825818204301576,0.025398218204301576,0.0,0.0164276
70,2023-07-03 08:03:30.071432879,1,194.15,122.0,-0.20601307030932622,0.13911177030934327,0.04999999999998295,0.0169013
71,2023-07-03 08:03:30.071432879,1,194.15,118.0,-0.1176977364085861,0.05079643640860315,0.04999999999998295,0.0169013
72,2023-07-03 08:03:30.071432879,1,194.15,206.0,-0.14721751803552768,0.08031621803554471,0.04999999999998295,0.0169013
73,2023-07-03 08:03:30.071432879,2,194.15,193.0,-0.3208834820429987,0.25398218204301576,0.04999999999998295,0.0169013
74,2023-07-03 08:03:30.071432879,1,194.15,183.0,-0.09229951820428453,0.025398218204301576,0.04999999999998295,0.0169013
75,2023-07-03 08:03:30.071949082,1,194.13,105.0,-0.11186681820429475,0.025398218204301576,0.06999999999999318,0.0164686
76,2023-07-03 08:03:59.695353821,1,194.15,127.0,-0.10254060464461748,0.03591850464463453,0.04999999999998295,0.0166221
77,2023-07-03 08:03:59.756134128,1,194.2,185.0,-0.16885340922580946,0.15238930922580946,0.0,0.0164641
78,2023-07-03 08:04:10.234613592,1,194.2,87.0,-0.3216663184516189,0.3047786184516189,0.0,0.0168877
79,2023-07-03 08:04:10.234613592,1,194.2,44.0,-0.042285918204301574,0.025398218204301576,0.0,0.0168877
80,2023-07-03 08:04:10.234613592,1,194.2,53.0,-0.19648022322317263,0.17959252322317262,0.0,0.0168877
81,2023-07-03 08:04:10.234613592,1,194.2,94.0,-0.22938443916729198,0.21249673916729198,0.0,0.0168877
82,2023-07-03 08:04:10.234613592,1,194.2,43.0,-0.1671455852452212,0.15025788524522118,0.0,0.0168877
83,2023-07-03 08:04:14.352018066,1,194.19,78.0,-0.2196369456344126,0.2031857456344126,0.0,0.0164512
84,2023-07-03 08:04:20.682195881,1,194.19,195.0,-0.25626792322317493,0.17959252322317262,0.060000000000002274,0.0166754
85,2023-07-03 08:04:20.682195881,2,194.18,141.0,-0.16699161803553791,0.08031621803554471,0.06999999999999318,0.0166754
86,2023-07-03 08:04:20.682195881,1,194.17,143.0,-0.25730783607110197,0.16063243607108943,0.0800000000000125,0.0166754
87,2023-07-03 08:04:22.775930851,1,194.24,122.0,-0.10702691803553561,0.08031621803554471,0.009999999999990905,0.0167107
88,2023-07-03 08:04:22.775930851,1,194.25,101.0,-0.2706928820430158,0.25398218204301576,0.0,0.0167107
89,2023-07-03 08:04:22.775930851,1,194.25,104.0,-0.20630322322316352,0.17959252322317262,0.009999999999990905,0.0167107
90,2023-07-03 08:04:22.775930851,1,194.25,138.0,-0.20630322322316352,0.17959252322317262,0.009999999999990905,0.0167107
91,2023-07-03 08:04:22.776496406,1,194.26,84.0,-0.11144413075502138,0.09503143075502138,0.0,0.0164127
92,2023-07-03 08:04:48.444245797,1,194.18,97.0,-0.15321794241217507,0.056792142412190966,0.07999999999998408,0.0164258
93,2023-07-03 08:04:48.685699700,1,194.13,57.0,-0.21694691803554927,0.08031621803554471,0.12000000000000455,0.0166307
94,2023-07-03 08:04:48.685699700,1,194.13,186.0,-0.16202891820430612,0.025398218204301576,0.12000000000000455,0.0166307
95,2023-07-03 08:04:48.685699700,1,194.13,148.0,-0.3762370113272422,0.23960631132723764,0.12000000000000455,0.0166307
96,2023-07-03 08:04:54.138834554,1,194.15,175.0,-0.16238360464461976,0.03591850464463453,0.10999999999998522,0.0164651
97,2023-07-03 08:05:01.501859136,1,194.15,185.0,-0.3025150174062697,0.17596401740628445,0.10999999999998522,0.016551
98,2023-07-03 08:05:01.501888294,2,194.15,101.0,-0.10805267804103226,0.09157457804103226,0.0,0.0164781
99,2023-07-03 08:05:01.592537277,1,194.19,154.0,-0.1224091046446277,0.03591850464463453,0.06999999999999318,0.0164906
100,2023-07-03 08:05:11.513296650,1,194.21,76.0,-0.10239330464461747,0.03591850464463453,0.04999999999998295,0.0164748
101,2023-07-03 08:05:13.112414671,1,194.2,106.0,-0.10183471820430384,0.025398218204301576,0.060000000000002274,0.0164365
102,2023-07-03 08:05:13.717864037,2,194.2,122.0,-0.152996054612907,0.07619465461290473,0.060000000000002274,0.0168014
103,2023-07-03 08:05:13.717864037,1,194.15,170.0,-0.30639392322315784,0.17959252322317262,0.10999999999998522,0.0168014
104,2023-07-03 08:05:13.717864037,1,194.14,61.0,-0.21711761803554924,0.08031621803554471,0.12000000000000455,0.0168014
105,2023-07-03 08:05:13.717864037,1,194.13,94.0,-0.23103776012723787,0.08423636012724241,0.12999999999999545,0.0168014
106,2023-07-03 08:05:13.717864037,1,194.13,165.0,-0.17263501820429702,0.025398218204301576,0.12999999999999545,0.0172368
107,2023-07-03 08:05:13.717864037,1,194.13,177.0,-0.17263501820429702,0.025398218204301576,0.12999999999999545,0.0172368
108,2023-07-03 08:05:13.717864037,1,194.13,45.0,-0.17263501820429702,0.025398218204301576,0.12999999999999545,0.0172368
109,2023-07-03 08:05:13.717864037,1,194.12,104.0,-0.23755301803553108,0.08031621803554471,0.13999999999998636,0.0172368
110,2023-07-03 08:05:13.717864037,1,194.1,73.0,-0.3092098130547099,0.13197301305471332,0.1599999999999966,0.0172368
111,2023-07-03 08:05:24.553071027,1,194.18,152.0,-0.09681991803554471,0.08031621803554471,0.0,0.0165037
112,2023-07-03 08:05:28.625249690,2,194.15,57.0,-0.1418362182042959,0.025398218204301576,0.09999999999999432,0.016438
113,2023-07-03 08:05:30.522013321,2,194.15,77.0,-0.1418632182042959,0.025398218204301576,0.09999999999999432,0.016465
114,2023-07-03 08:05:44.839501156,1,194.15,92.0,-0.1523808182042868,0.025398218204301576,0.10999999999998522,0.0169826
115,2023-07-03 08:05:44.839501156,1,194.13,58.0,-0.2272988180355402,0.08031621803554471,0.12999999999999545,0.0169826
116,2023-07-03 08:05:44.839501156,1,194.13,57.0,-0.32657512322316806,0.17959252322317262,0.12999999999999545,0.0169826
117,2023-07-03 08:05:44.839501156,2,194.12,178.0,-0.2372988180355311,0.08031621803554471,0.13999999999998636,0.0169826
118,2023-07-03 08:05:44.839501156,1,194.12,154.0,-0.2372988180355311,0.08031621803554471,0.13999999999998636,0.0169826
119,2023-07-03 08:05:44.839501156,1,194.11,151.0,-0.3255944218487264,0.1586118218487491,0.14999999999997726,0.0169826
120,2023-07-03 08:05:49.385289017,1,194.17,128.0,-0.20637242322319194,0.17959252322317262,0.010000000000019327,0.0167799
121,2023-07-03 08:05:49.385289017,1,194.18,161.0,-0.09709611803554472,0.08031621803554471,0.0,0.0167799
122,2023-07-03 08:05:49.385289017,1,194.19,149.0,-0.24637242322318398,0.17959252322317262,0.05000000000001137,0.0167799
123,2023-07-03 08:05:49.385289017,2,194.2,69.0,-0.13709611803556518,0.08031621803554471,0.040000000000020464,0.0167799
124,2023-07-03 08:05:50.024437448,2,194.2,136.0,-0.12827340928928954,0.07183700928926906,0.040000000000020464,0.0164364
125,2023-07-03 08:05:55.436487276,1,194.2,98.0,-0.29231462786780943,0.21551102786780715,0.060000000000002274,0.0168036
126,2023-07-03 08:05:55.436487276,1,194.12,116.0,-0.23711981803553106,0.08031621803554471,0.13999999999998636,0.0168036
127,2023-07-03 08:05:55.436487276,1,194.12,130.0,-0.23711981803553106,0.08031621803554471,0.13999999999998636,0.0168036
128,2023-07-03 08:05:55.436487276,1,194.11,156.0,-0.30119833822544817,0.1343947382254709,0.14999999999997726,0.0168036
129,2023-07-03 08:06:13.187564319,1,194.13,92.0,-0.25532552742167824,0.18835822742166689,0.05000000000001137,0.0169673
130,2023-07-03 08:06:13.187564319,1,194.1,102.0,-0.218772875500177,0.12180557550016448,0.0800000000000125,0.0169673
131,2023-07-03 08:06:13.187564319,1,194.1,116.0,-0.12236551820431409,0.025398218204301576,0.0800000000000125,0.0169673
132,2023-07-03 08:06:13.187564319,1,194.1,181.0,-0.22647331023423378,0.12950601023422126,0.0800000000000125,0.0169673
133,2023-07-03 08:06:13.187564319,1,194.1,176.0,-0.13288580464464705,0.03591850464463453,0.0800000000000125,0.0169673
134,2023-07-03 08:06:13.187564319,1,194.09,138.0,-0.13236551820430498,0.025398218204301576,0.09000000000000341,0.0169673
135,2023-07-03 08:06:13.187564319,2,194.07,55.0,-0.21494930870315587,0.08798200870314223,0.11000000000001364,0.0169673
136,2023-07-03 08:06:18.407946816,1,194.15,45.0,-0.12678341803554585,0.08031621803554471,0.030000000000001137,0.0164672
137,2023-07-03 08:06:18.408863244,1,194.07,167.0,-0.3078421575185475,0.18137955751853382,0.11000000000001364,0.0164626
138,2023-07-03 08:06:18.654901929,1,194.13,110.0,-0.11044440435158248,0.04399100435157111,0.05000000000001137,0.0164534
139,2023-07-03 08:06:26.517259528,1,194.11,36.0,-0.11234061820429475,0.025398218204301576,0.06999999999999318,0.0169424
140,2023-07-03 08:06:26.517259528,1,194.01,104.0,-0.2672586180355606,0.08031621803554471,0.17000000000001592,0.0169424
141,2023-07-03 08:06:26.517259528,1,194.0,56.0,-0.2223406182043084,0.025398218204301576,0.18000000000000682,0.0169424
142,2023-07-03 08:06:26.517259528,2,194.0,124.0,-0.3046979139339104,0.10775551393390358,0.18000000000000682,0.0169424
143,2023-07-03 08:06:26.517259528,1,194.0,178.0,-0.437891054106641,0.24094865410663419,0.18000000000000682,0.0169424
144,2023-07-03 08:06:26.519155859,1,194.0,108.0,-0.43604811132724447,0.23960631132723764,0.18000000000000682,0.0164418
145,2023-07-03 08:06:32.594692998,1,194.07,42.0,-0.041879318204301574,0.025398218204301576,0.0,0.0164811
146,2023-07-03 08:06:38.241738658,1,194.07,39.0,-0.0786289749764057,0.062212674976405695,0.0,0.0164163
147,2023-07-03 08:06:38.329620530,1,194.07,48.0,-0.04185891820430158,0.025398218204301576,0.0,0.0164607
148,2023-07-03 08:06:39.826437098,1,194.05,69.0,-0.21644672322315445,0.17959252322317262,0.01999999999998181,0.0168542
149,2023-07-03 08:06:39.826437098,1,194.03,79.0,-0.21748663607108148,0.16063243607108943,0.03999999999999204,0.0168542
150,2023-07-03 08:06:39.826437098,1,194.01,91.0,-0.14869120928927132,0.07183700928926906,0.060000000000002274,0.0168542
151,2023-07-03 08:06:39.826437098,1,194.0,110.0,-0.20324345743821054,0.11638925743821735,0.06999999999999318,0.0168542
152,2023-07-03 08:06:39.826437098,1,194.0,134.0,-0.11225241820429475,0.025398218204301576,0.06999999999999318,0.0168542
153,2023-07-03 08:06:39.827771604,1,194.0,123.0,-0.14919547497639887,0.062212674976405695,0.06999999999999318,0.0169828
154,2023-07-03 08:06:39.827771604,1,194.0,131.0,-0.15881980928926223,0.07183700928926906,0.06999999999999318,0.0169828
155,2023-07-03 08:06:39.827771604,1,194.0,161.0,-0.2005670848243751,0.11358428482438193,0.06999999999999318,0.0169828
156,2023-07-03 08:06:39.827771604,1,194.0,64.0,-0.1229013046446277,0.03591850464463453,0.06999999999999318,0.0169828
157,2023-07-03 08:06:39.827771604,1,194.0,74.0,-0.17855737804102545,0.09157457804103226,0.06999999999999318,0.0169828
158,2023-07-03 08:06:43.388629770,2,194.07,39.0,-0.041866318204301575,0.025398218204301576,0.0,0.0164681
159,2023-07-03 08:06:46.355419841,1,194.07,156.0,-0.041809318204301574,0.025398218204301576,0.0,0.0164111
160,2023-07-03 08:06:46.571931517,1,194.07,75.0,-0.04182131820430157,0.025398218204301576,0.0,0.0164231
161,2023-07-03 08:07:01.455192703,1,194.07,149.0,-0.08372286911273545,0.06719736911273545,0.0,0.0165255
162,2023-07-03 08:07:04.643817077,1,194.07,59.0,-0.16047300435156542,0.04399100435157111,0.09999999999999432,0.016482
163,2023-07-03 08:07:08.276481637,1,194.01,110.0,-0.2569781180355413,0.08031621803554471,0.1599999999999966,0.0166619
164,2023-07-03 08:07:08.276481637,1,194.0,84.0,-0.22258040464462203,0.03591850464463453,0.1699999999999875,0.0166619
165,2023-07-03 08:07:08.276481637,1,194.0,39.0,-0.25849890928925656,0.07183700928926906,0.1699999999999875,0.0166619
166,2023-07-03 08:07:08.277695844,1,194.0,109.0,-0.4353155999056103,0.24885069990562278,0.1699999999999875,0.0164649
167,2023-07-03 08:07:08.500675770,1,194.07,42.0,-0.15238690464462884,0.03591850464463453,0.09999999999999432,0.0164684
168,2023-07-03 08:07:20.349525673,1,194.11,87.0,-0.10185851820427543,0.025398218204301576,0.05999999999997385,0.0164603
169,2023-07-03 08:07:21.830530495,1,194.07,55.0,-0.19677061803553902,0.08031621803554471,0.09999999999999432,0.0164544
170,2023-07-03 08:07:21.830531823,1,194.07,93.0,-0.15255010464462884,0.03591850464463453,0.09999999999999432,0.0166316
171,2023-07-03 08:07:22.378410301,1,194.11,142.0,-0.2561432232231465,0.17959252322317262,0.05999999999997385,0.0165507
172,2023-07-03 08:07:22.378410301,1,194.16,139.0,-0.28053288204300664,0.25398218204301576,0.009999999999990905,0.0165507
173,2023-07-03 08:07:23.387326158,1,194.16,100.0,-0.051872718204292484,0.025398218204301576,0.009999999999990905,0.0164745
174,2023-07-03 08:07:23.809281857,1,194.16,38.0,-0.09367606911272636,0.06719736911273545,0.009999999999990905,0.0164787
175,2023-07-03 08:07:29.602061828,1,194.16,50.0,-0.06041420435157111,0.04399100435157111,0.0,0.0164232
176,2023-07-03 08:07:30.447356491,2,194.16,123.0,-0.04187901820430158,0.025398218204301576,0.0,0.0164808
177,2023-07-03 08:07:32.687326469,1,194.16,119.0,-0.07323174241219096,0.056792142412190966,0.0,0.0164396
178,2023-07-03 08:07:34.737986629,1,194.16,65.0,-0.12422051393390357,0.10775551393390358,0.0,0.016465
179,2023-07-03 08:07:34.779124811,1,194.16,91.0,-0.04184681820430158,0.025398218204301576,0.0,0.0164486
180,2023-07-03 08:07:35.477451215,1,194.16,58.0,-0.13834417550016448,0.12180557550016448,0.0,0.0165386
181,2023-07-03 08:07:35.477451215,1,194.16,75.0,-0.11077496012723331,0.08423636012724241,0.009999999999990905,0.0165386
182,2023-07-03 08:07:39.757477498,1,194.17,57.0,-0.09676471803554472,0.08031621803554471,0.0,0.0164485
183,2023-07-03 08:07:40.788579522,1,194.17,160.0,-0.15561317030934327,0.13911177030934327,0.0,0.0165014
184,2023-07-03 08:07:45.258058489,1,194.16,131.0,-0.04184471820430158,0.025398218204301576,0.0,0.0164465
185,2023-07-03 08:07:54.507645057,1,194.1,129.0,-0.157168718035547,0.08031621803554471,0.060000000000002274,0.0168525
186,2023-07-03 08:07:54.507645057,1,194.08,87.0,-0.1771687180355288,0.08031621803554471,0.07999999999998408,0.0168525
187,2023-07-03 08:07:54.507645057,1,194.07,74.0,-0.286445023223176,0.17959252322317262,0.09000000000000341,0.0168525
188,2023-07-03 08:07:54.507645057,1,194.07,41.0,-0.286445023223176,0.17959252322317262,0.09000000000000341,0.0168525
189,2023-07-03 08:07:54.508834193,1,194.06,139.0,-0.19721651803553902,0.08031621803554471,0.09999999999999432,0.0169003
190,2023-07-03 08:07:54.508834193,1,194.05,119.0,-0.1522985182042868,0.025398218204301576,0.10999999999998522,0.0169003
191,2023-07-03 08:07:54.508834193,1,194.04,96.0,-0.20409766911274002,0.06719736911273545,0.12000000000000455,0.0169003
192,2023-07-03 08:07:54.508834193,1,194.01,151.0,-0.2472165180355504,0.08031621803554471,0.15000000000000568,0.0169003
193,2023-07-03 08:07:54.508834193,1,194.01,116.0,-0.3500494560820702,0.18314915608206453,0.15000000000000568,0.0169003
194,2023-07-03 08:07:55.827897014,1,194.07,154.0,-0.09673021803554471,0.08031621803554471,0.0,0.016414
195,2023-07-03 08:08:02.523837858,1,194.13,76.0,-0.21631012322318285,0.17959252322317262,0.020000000000010232,0.0167176
196,2023-07-03 08:08:02.523837858,1,194.14,127.0,-0.10703381803556404,0.08031621803554471,0.010000000000019327,0.0167176
197,2023-07-03 08:08:02.523837858,2,194.14,73.0,-0.10703381803556404,0.08031621803554471,0.010000000000019327,0.0167176
198,2023-07-03 08:08:02.523837858,1,194.15,143.0,-0.1648133885640667,0.1480957885640667,0.0,0.0167176
199,2023-07-03 08:08:05.494156630,2,194.07,104.0,-0.19807737281721882,0.1015928728172063,0.0800000000000125,0.0164845
200,2023-07-03 08:08:16.990744776,1,194.08,115.0,-0.39575784644632706,0.35918504644634525,0.01999999999998181,0.0165728
201,2023-07-03 08:08:16.990744776,1,194.08,86.0,-0.11276745461288654,0.07619465461290473,0.01999999999998181,0.0165728
202,2023-07-03 08:08:24.284550456,1,194.1,95.0,-0.04188821820430158,0.025398218204301576,0.0,0.01649
203,2023-07-03 08:08:27.782289263,1,194.1,44.0,-0.041846318204301576,0.025398218204301576,0.0,0.0164481
204,2023-07-03 08:08:35.298678941,1,194.07,81.0,-0.07208021820430272,0.025398218204301576,0.030000000000001137,0.016682
205,2023-07-03 08:08:35.298678941,1,194.06,141.0,-0.31066418204300783,0.25398218204301576,0.03999999999999204,0.016682
206,2023-07-03 08:08:35.298678941,1,194.06,81.0,-0.13699821803553675,0.08031621803554471,0.03999999999999204,0.016682
207,2023-07-03 08:08:35.299423264,1,194.05,110.0,-0.1745262139338865,0.10775551393390358,0.04999999999998295,0.0167707
208,2023-07-03 08:08:35.299423264,2,194.05,82.0,-0.29535466383869713,0.22858396383871418,0.04999999999998295,0.0167707
209,2023-07-03 08:08:35.299423264,1,194.04,71.0,-0.15708691803554697,0.08031621803554471,0.060000000000002274,0.0167707
210,2023-07-03 08:08:35.299423264,1,194.03,137.0,-0.14356284241218414,0.056792142412190966,0.06999999999999318,0.0167707
211,2023-07-03 08:08:43.196226286,2,194.09,118.0,-0.062382304644625436,0.03591850464463453,0.009999999999990905,0.0164638
212,2023-07-03 08:08:45.366675240,1,194.08,103.0,-0.06190911820428338,0.025398218204301576,0.01999999999998181,0.0165109
213,2023-07-03 08:08:53.343838795,1,194.05,47.0,-0.10824697804103227,0.09157457804103226,0.0,0.0166724
214,2023-07-03 08:08:53.343838795,1,194.06,114.0,-0.13698861803553675,0.08031621803554471,0.03999999999999204,0.0166724
215,2023-07-03 08:08:53.343838795,1,194.07,35.0,-0.17864541305471446,0.13197301305471332,0.030000000000001137,0.0166724
216,2023-07-03 08:08:54.262741699,1,194.05,128.0,-0.3204599820429987,0.25398218204301576,0.04999999999998295,0.0164778
217,2023-07-03 08:09:08.750322440,1,194.05,48.0,-0.14678441803552766,0.08031621803554471,0.04999999999998295,0.0164682
218,2023-07-03 08:09:18.633604282,1,194.1,141.0,-0.06733923640860315,0.05079643640860315,0.0,0.0165428
219,2023-07-03 08:09:23.513448135,1,194.1,131.0,-0.285285699905633,0.24885069990562278,0.020000000000010232,0.016435
220,2023-07-03 08:09:23.513596182,1,194.05,53.0,-0.18484697612859524,0.09836687612860205,0.06999999999999318,0.0164801
221,2023-07-03 08:09:28.098380390,1,194.01,96.0,-0.13676211803556518,0.08031621803554471,0.040000000000020464,0.0164459
222,2023-07-03 08:09:29.194412216,2,194.0,110.0,-0.5822212416524071,0.4957534416524139,0.06999999999999318,0.0164678
223,2023-07-03 08:09:44.674267162,1,194.0,67.0,-0.49754065573566464,0.4507736557356635,0.030000000000001137,0.016767
224,2023-07-03 08:09:44.674267162,2,194.0,114.0,-0.1139643691127366,0.06719736911273545,0.030000000000001137,0.016767
225,2023-07-03 08:09:44.674267162,1,194.0,30.0,-0.09756343640860429,0.05079643640860315,0.030000000000001137,0.016767
226,2023-07-03 08:09:44.674267162,2,194.0,114.0,-0.12708321803554584,0.08031621803554471,0.030000000000001137,0.016767
